"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOSPITALBED","TOT","1000HAB","A","1960",9.65,
"AUS","HOSPITALBED","TOT","1000HAB","A","1961",9.48,
"AUS","HOSPITALBED","TOT","1000HAB","A","1962",9.38,
"AUS","HOSPITALBED","TOT","1000HAB","A","1963",9.36,
"AUS","HOSPITALBED","TOT","1000HAB","A","1964",9.23,
"AUS","HOSPITALBED","TOT","1000HAB","A","1965",9.13,
"AUS","HOSPITALBED","TOT","1000HAB","A","1966",8.93,
"AUS","HOSPITALBED","TOT","1000HAB","A","1967",8.84,
"AUS","HOSPITALBED","TOT","1000HAB","A","1968",8.61,
"AUS","HOSPITALBED","TOT","1000HAB","A","1969",8.4,
"AUS","HOSPITALBED","TOT","1000HAB","A","1970",8.25,
"AUS","HOSPITALBED","TOT","1000HAB","A","1971",7.98,
"AUS","HOSPITALBED","TOT","1000HAB","A","1972",7.9,
"AUS","HOSPITALBED","TOT","1000HAB","A","1973",7.88,
"AUS","HOSPITALBED","TOT","1000HAB","A","1974",8,
"AUS","HOSPITALBED","TOT","1000HAB","A","1975",7.94,
"AUS","HOSPITALBED","TOT","1000HAB","A","1976",7.97,
"AUS","HOSPITALBED","TOT","1000HAB","A","1977",8.1,
"AUS","HOSPITALBED","TOT","1000HAB","A","1978",8.05,
"AUS","HOSPITALBED","TOT","1000HAB","A","1979",8,
"AUS","HOSPITALBED","TOT","1000HAB","A","1980",7.84,
"AUS","HOSPITALBED","TOT","1000HAB","A","1981",7.65,
"AUS","HOSPITALBED","TOT","1000HAB","A","1982",7.43,
"AUS","HOSPITALBED","TOT","1000HAB","A","1983",7.2,
"AUS","HOSPITALBED","TOT","1000HAB","A","1984",6.94,
"AUS","HOSPITALBED","TOT","1000HAB","A","1985",6.24,"B"
"AUS","HOSPITALBED","TOT","1000HAB","A","1987",5.82,
"AUS","HOSPITALBED","TOT","1000HAB","A","1989",5.43,
"AUS","HOSPITALBED","TOT","1000HAB","A","1991",4.92,
"AUS","HOSPITALBED","TOT","1000HAB","A","1992",4.65,
"AUS","HOSPITALBED","TOT","1000HAB","A","1993",4.68,
"AUS","HOSPITALBED","TOT","1000HAB","A","1994",4.59,
"AUS","HOSPITALBED","TOT","1000HAB","A","1995",4.58,
"AUS","HOSPITALBED","TOT","1000HAB","A","1996",4.38,
"AUS","HOSPITALBED","TOT","1000HAB","A","1997",4.28,
"AUS","HOSPITALBED","TOT","1000HAB","A","1998",4.17,
"AUS","HOSPITALBED","TOT","1000HAB","A","1999",4.07,
"AUS","HOSPITALBED","TOT","1000HAB","A","2000",4.04,
"AUS","HOSPITALBED","TOT","1000HAB","A","2001",3.95,
"AUS","HOSPITALBED","TOT","1000HAB","A","2002",3.93,
"AUS","HOSPITALBED","TOT","1000HAB","A","2003",3.97,
"AUS","HOSPITALBED","TOT","1000HAB","A","2004",4,
"AUS","HOSPITALBED","TOT","1000HAB","A","2005",3.9,
"AUS","HOSPITALBED","TOT","1000HAB","A","2006",3.93,
"AUS","HOSPITALBED","TOT","1000HAB","A","2008",3.82,
"AUS","HOSPITALBED","TOT","1000HAB","A","2009",3.77,
"AUS","HOSPITALBED","TOT","1000HAB","A","2010",3.78,
"AUS","HOSPITALBED","TOT","1000HAB","A","2011",3.79,
"AUS","HOSPITALBED","TOT","1000HAB","A","2012",3.75,"E"
"AUS","HOSPITALBED","TOT","1000HAB","A","2013",3.74,
"AUS","HOSPITALBED","TOT","1000HAB","A","2014",3.79,
"AUS","HOSPITALBED","TOT","1000HAB","A","2015",3.82,
"AUS","HOSPITALBED","TOT","1000HAB","A","2016",3.84,
"AUT","HOSPITALBED","TOT","1000HAB","A","1985",9.94,
"AUT","HOSPITALBED","TOT","1000HAB","A","1986",9.91,
"AUT","HOSPITALBED","TOT","1000HAB","A","1987",9.79,
"AUT","HOSPITALBED","TOT","1000HAB","A","1988",9.65,
"AUT","HOSPITALBED","TOT","1000HAB","A","1989",9.51,
"AUT","HOSPITALBED","TOT","1000HAB","A","1990",9.29,
"AUT","HOSPITALBED","TOT","1000HAB","A","1991",9.05,
"AUT","HOSPITALBED","TOT","1000HAB","A","1992",8.83,
"AUT","HOSPITALBED","TOT","1000HAB","A","1993",8.69,
"AUT","HOSPITALBED","TOT","1000HAB","A","1994",8.6,
"AUT","HOSPITALBED","TOT","1000HAB","A","1995",8.54,
"AUT","HOSPITALBED","TOT","1000HAB","A","1996",8.44,
"AUT","HOSPITALBED","TOT","1000HAB","A","1997",8.34,
"AUT","HOSPITALBED","TOT","1000HAB","A","1998",8.2,
"AUT","HOSPITALBED","TOT","1000HAB","A","1999",8.08,
"AUT","HOSPITALBED","TOT","1000HAB","A","2000",7.95,
"AUT","HOSPITALBED","TOT","1000HAB","A","2001",7.85,
"AUT","HOSPITALBED","TOT","1000HAB","A","2002",7.81,
"AUT","HOSPITALBED","TOT","1000HAB","A","2003",7.73,
"AUT","HOSPITALBED","TOT","1000HAB","A","2004",7.73,
"AUT","HOSPITALBED","TOT","1000HAB","A","2005",7.69,
"AUT","HOSPITALBED","TOT","1000HAB","A","2006",7.66,
"AUT","HOSPITALBED","TOT","1000HAB","A","2007",7.75,
"AUT","HOSPITALBED","TOT","1000HAB","A","2008",7.69,
"AUT","HOSPITALBED","TOT","1000HAB","A","2009",7.68,
"AUT","HOSPITALBED","TOT","1000HAB","A","2010",7.65,
"AUT","HOSPITALBED","TOT","1000HAB","A","2011",7.68,
"AUT","HOSPITALBED","TOT","1000HAB","A","2012",7.67,
"AUT","HOSPITALBED","TOT","1000HAB","A","2013",7.64,
"AUT","HOSPITALBED","TOT","1000HAB","A","2014",7.58,
"AUT","HOSPITALBED","TOT","1000HAB","A","2015",7.54,
"AUT","HOSPITALBED","TOT","1000HAB","A","2016",7.42,
"AUT","HOSPITALBED","TOT","1000HAB","A","2017",7.37,
"AUT","HOSPITALBED","TOT","1000HAB","A","2018",7.27,
"AUT","HOSPITALBED","TOT","1000HAB","A","2019",7.19,
"BEL","HOSPITALBED","TOT","1000HAB","A","1988",7.68,
"BEL","HOSPITALBED","TOT","1000HAB","A","1989",7.64,
"BEL","HOSPITALBED","TOT","1000HAB","A","1990",7.61,
"BEL","HOSPITALBED","TOT","1000HAB","A","1991",7.5,
"BEL","HOSPITALBED","TOT","1000HAB","A","1992",7.43,
"BEL","HOSPITALBED","TOT","1000HAB","A","1993",7.36,
"BEL","HOSPITALBED","TOT","1000HAB","A","1994",7.13,"B"
"BEL","HOSPITALBED","TOT","1000HAB","A","1995",7.05,
"BEL","HOSPITALBED","TOT","1000HAB","A","1996",6.97,
"BEL","HOSPITALBED","TOT","1000HAB","A","1997",6.92,
"BEL","HOSPITALBED","TOT","1000HAB","A","1998",6.84,
"BEL","HOSPITALBED","TOT","1000HAB","A","1999",6.79,
"BEL","HOSPITALBED","TOT","1000HAB","A","2000",6.72,
"BEL","HOSPITALBED","TOT","1000HAB","A","2001",6.62,
"BEL","HOSPITALBED","TOT","1000HAB","A","2002",6.54,
"BEL","HOSPITALBED","TOT","1000HAB","A","2003",6.53,
"BEL","HOSPITALBED","TOT","1000HAB","A","2004",6.48,
"BEL","HOSPITALBED","TOT","1000HAB","A","2005",6.44,
"BEL","HOSPITALBED","TOT","1000HAB","A","2006",6.35,
"BEL","HOSPITALBED","TOT","1000HAB","A","2007",6.27,
"BEL","HOSPITALBED","TOT","1000HAB","A","2008",6.25,
"BEL","HOSPITALBED","TOT","1000HAB","A","2009",6.15,
"BEL","HOSPITALBED","TOT","1000HAB","A","2010",6.12,
"BEL","HOSPITALBED","TOT","1000HAB","A","2011",6.05,
"BEL","HOSPITALBED","TOT","1000HAB","A","2012",5.99,
"BEL","HOSPITALBED","TOT","1000HAB","A","2013",5.93,
"BEL","HOSPITALBED","TOT","1000HAB","A","2014",5.85,
"BEL","HOSPITALBED","TOT","1000HAB","A","2015",5.83,
"BEL","HOSPITALBED","TOT","1000HAB","A","2016",5.76,
"BEL","HOSPITALBED","TOT","1000HAB","A","2017",5.66,
"BEL","HOSPITALBED","TOT","1000HAB","A","2018",5.62,
"BEL","HOSPITALBED","TOT","1000HAB","A","2019",5.57,"B"
"BEL","HOSPITALBED","TOT","1000HAB","A","2020",5.54,
"CAN","HOSPITALBED","TOT","1000HAB","A","1976",6.92,
"CAN","HOSPITALBED","TOT","1000HAB","A","1977",6.88,
"CAN","HOSPITALBED","TOT","1000HAB","A","1978",6.87,
"CAN","HOSPITALBED","TOT","1000HAB","A","1979",6.79,
"CAN","HOSPITALBED","TOT","1000HAB","A","1980",6.75,
"CAN","HOSPITALBED","TOT","1000HAB","A","1981",6.86,
"CAN","HOSPITALBED","TOT","1000HAB","A","1982",6.83,
"CAN","HOSPITALBED","TOT","1000HAB","A","1983",6.84,
"CAN","HOSPITALBED","TOT","1000HAB","A","1984",6.82,
"CAN","HOSPITALBED","TOT","1000HAB","A","1985",6.75,
"CAN","HOSPITALBED","TOT","1000HAB","A","1986",6.7,
"CAN","HOSPITALBED","TOT","1000HAB","A","1987",6.61,
"CAN","HOSPITALBED","TOT","1000HAB","A","1988",6.49,
"CAN","HOSPITALBED","TOT","1000HAB","A","1989",6.34,
"CAN","HOSPITALBED","TOT","1000HAB","A","1990",5.99,
"CAN","HOSPITALBED","TOT","1000HAB","A","1991",5.76,
"CAN","HOSPITALBED","TOT","1000HAB","A","1992",5.51,
"CAN","HOSPITALBED","TOT","1000HAB","A","1993",5.41,
"CAN","HOSPITALBED","TOT","1000HAB","A","1995",4.7,"B"
"CAN","HOSPITALBED","TOT","1000HAB","A","1996",4.57,
"CAN","HOSPITALBED","TOT","1000HAB","A","1997",4.55,
"CAN","HOSPITALBED","TOT","1000HAB","A","1998",4.38,
"CAN","HOSPITALBED","TOT","1000HAB","A","1999",3.92,
"CAN","HOSPITALBED","TOT","1000HAB","A","2000",3.77,
"CAN","HOSPITALBED","TOT","1000HAB","A","2001",3.69,
"CAN","HOSPITALBED","TOT","1000HAB","A","2002",3.64,
"CAN","HOSPITALBED","TOT","1000HAB","A","2003",3.5,
"CAN","HOSPITALBED","TOT","1000HAB","A","2004",3.44,
"CAN","HOSPITALBED","TOT","1000HAB","A","2005",3.1,"B"
"CAN","HOSPITALBED","TOT","1000HAB","A","2006",3.02,"B"
"CAN","HOSPITALBED","TOT","1000HAB","A","2007",2.96,
"CAN","HOSPITALBED","TOT","1000HAB","A","2008",2.85,
"CAN","HOSPITALBED","TOT","1000HAB","A","2009",2.8,
"CAN","HOSPITALBED","TOT","1000HAB","A","2010",2.78,
"CAN","HOSPITALBED","TOT","1000HAB","A","2011",2.8,
"CAN","HOSPITALBED","TOT","1000HAB","A","2012",2.79,
"CAN","HOSPITALBED","TOT","1000HAB","A","2013",2.72,
"CAN","HOSPITALBED","TOT","1000HAB","A","2014",2.67,
"CAN","HOSPITALBED","TOT","1000HAB","A","2015",2.62,
"CAN","HOSPITALBED","TOT","1000HAB","A","2016",2.6,
"CAN","HOSPITALBED","TOT","1000HAB","A","2017",2.53,
"CAN","HOSPITALBED","TOT","1000HAB","A","2018",2.55,
"CAN","HOSPITALBED","TOT","1000HAB","A","2019",2.52,
"CZE","HOSPITALBED","TOT","1000HAB","A","1980",10.08,
"CZE","HOSPITALBED","TOT","1000HAB","A","1985",10.11,
"CZE","HOSPITALBED","TOT","1000HAB","A","1990",9.95,
"CZE","HOSPITALBED","TOT","1000HAB","A","1995",8.5,
"CZE","HOSPITALBED","TOT","1000HAB","A","1996",8.26,
"CZE","HOSPITALBED","TOT","1000HAB","A","1997",8.04,
"CZE","HOSPITALBED","TOT","1000HAB","A","1998",7.93,
"CZE","HOSPITALBED","TOT","1000HAB","A","1999",7.74,
"CZE","HOSPITALBED","TOT","1000HAB","A","2000",7.8,"B"
"CZE","HOSPITALBED","TOT","1000HAB","A","2001",7.77,
"CZE","HOSPITALBED","TOT","1000HAB","A","2002",7.76,
"CZE","HOSPITALBED","TOT","1000HAB","A","2003",7.73,
"CZE","HOSPITALBED","TOT","1000HAB","A","2004",7.65,
"CZE","HOSPITALBED","TOT","1000HAB","A","2005",7.57,
"CZE","HOSPITALBED","TOT","1000HAB","A","2006",7.45,
"CZE","HOSPITALBED","TOT","1000HAB","A","2007",7.33,
"CZE","HOSPITALBED","TOT","1000HAB","A","2008",7.21,
"CZE","HOSPITALBED","TOT","1000HAB","A","2009",7.14,
"CZE","HOSPITALBED","TOT","1000HAB","A","2010",7.3,"B"
"CZE","HOSPITALBED","TOT","1000HAB","A","2011",7.06,
"CZE","HOSPITALBED","TOT","1000HAB","A","2012",6.93,
"CZE","HOSPITALBED","TOT","1000HAB","A","2013",6.7,
"CZE","HOSPITALBED","TOT","1000HAB","A","2014",6.68,
"CZE","HOSPITALBED","TOT","1000HAB","A","2015",6.67,
"CZE","HOSPITALBED","TOT","1000HAB","A","2016",6.66,
"CZE","HOSPITALBED","TOT","1000HAB","A","2017",6.63,
"CZE","HOSPITALBED","TOT","1000HAB","A","2018",6.62,
"CZE","HOSPITALBED","TOT","1000HAB","A","2019",6.58,
"DNK","HOSPITALBED","TOT","1000HAB","A","1997",4.64,
"DNK","HOSPITALBED","TOT","1000HAB","A","1998",4.54,
"DNK","HOSPITALBED","TOT","1000HAB","A","1999",4.39,
"DNK","HOSPITALBED","TOT","1000HAB","A","2000",4.29,
"DNK","HOSPITALBED","TOT","1000HAB","A","2001",4.22,
"DNK","HOSPITALBED","TOT","1000HAB","A","2002",4.29,
"DNK","HOSPITALBED","TOT","1000HAB","A","2003",4.13,
"DNK","HOSPITALBED","TOT","1000HAB","A","2004",3.97,
"DNK","HOSPITALBED","TOT","1000HAB","A","2005",3.86,
"DNK","HOSPITALBED","TOT","1000HAB","A","2006",3.79,
"DNK","HOSPITALBED","TOT","1000HAB","A","2007",3.69,
"DNK","HOSPITALBED","TOT","1000HAB","A","2008",3.57,
"DNK","HOSPITALBED","TOT","1000HAB","A","2009",3.49,
"DNK","HOSPITALBED","TOT","1000HAB","A","2010",3.5,
"DNK","HOSPITALBED","TOT","1000HAB","A","2011",3.13,"B"
"DNK","HOSPITALBED","TOT","1000HAB","A","2013",3.07,
"DNK","HOSPITALBED","TOT","1000HAB","A","2014",2.69,"B"
"DNK","HOSPITALBED","TOT","1000HAB","A","2015",2.53,
"DNK","HOSPITALBED","TOT","1000HAB","A","2016",2.6,
"DNK","HOSPITALBED","TOT","1000HAB","A","2017",2.61,
"DNK","HOSPITALBED","TOT","1000HAB","A","2018",2.61,
"DNK","HOSPITALBED","TOT","1000HAB","A","2019",2.59,
"DNK","HOSPITALBED","TOT","1000HAB","A","2020",2.57,"P"
"FIN","HOSPITALBED","TOT","1000HAB","A","1993",8.25,
"FIN","HOSPITALBED","TOT","1000HAB","A","1994",8.19,
"FIN","HOSPITALBED","TOT","1000HAB","A","1995",8.12,
"FIN","HOSPITALBED","TOT","1000HAB","A","1996",8.12,
