"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PHARMAEXP","TOT","USD_CAP","A","1971",33.979,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1972",34.174,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1973",37.944,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1974",45.324,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1975",44.349,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1976",44.327,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1977",45.394,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1978",48.112,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1979",47.293,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1980",54.859,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1981",62.711,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1982",65.226,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1983",72.607,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1984",76.062,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1985",81.76,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1986",86.519,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1987",90.879,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1988",100.94,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1989",111.891,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1990",122.119,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1991",134.956,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1992",148.881,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1993",164.421,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1994",181.886,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1995",196.145,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1996",215.264,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1997",232.098,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1998",258.961,
"AUS","PHARMAEXP","TOT","USD_CAP","A","1999",287.245,
"AUS","PHARMAEXP","TOT","USD_CAP","A","2000",338.157,
"AUS","PHARMAEXP","TOT","USD_CAP","A","2001",367.634,
"AUS","PHARMAEXP","TOT","USD_CAP","A","2002",381.433,
