"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","RADIOEQT","TOT","1000000HAB","A","1985",2.53,
"AUS","RADIOEQT","TOT","1000000HAB","A","1986",2.68,
"AUS","RADIOEQT","TOT","1000000HAB","A","1988",2.72,
"AUS","RADIOEQT","TOT","1000000HAB","A","1990",2.93,
"AUS","RADIOEQT","TOT","1000000HAB","A","1992",3.43,
"AUS","RADIOEQT","TOT","1000000HAB","A","1994",3.99,
"AUS","RADIOEQT","TOT","1000000HAB","A","1995",4.39,
"AUS","RADIOEQT","TOT","1000000HAB","A","1996",4.77,
"AUS","RADIOEQT","TOT","1000000HAB","A","1997",4.94,
"AUS","RADIOEQT","TOT","1000000HAB","A","1999",5.05,
"AUS","RADIOEQT","TOT","1000000HAB","A","2000",5.2,
"AUS","RADIOEQT","TOT","1000000HAB","A","2001",5.14,
"AUS","RADIOEQT","TOT","1000000HAB","A","2002",5.49,
"AUS","RADIOEQT","TOT","1000000HAB","A","2005",6.1,"B"
"AUS","RADIOEQT","TOT","1000000HAB","A","2006",6.21,
"AUS","RADIOEQT","TOT","1000000HAB","A","2008",7.91,
"AUS","RADIOEQT","TOT","1000000HAB","A","2009",8.9,
"AUS","RADIOEQT","TOT","1000000HAB","A","2010",9.3,
"AUS","RADIOEQT","TOT","1000000HAB","A","2011",9.18,
"AUS","RADIOEQT","TOT","1000000HAB","A","2012",9.72,
"AUS","RADIOEQT","TOT","1000000HAB","A","2013",10.12,
"AUS","RADIOEQT","TOT","1000000HAB","A","2014",10.56,
"AUS","RADIOEQT","TOT","1000000HAB","A","2015",10.83,
"AUS","RADIOEQT","TOT","1000000HAB","A","2016",10.71,
"AUS","RADIOEQT","TOT","1000000HAB","A","2017",10.41,
"AUS","RADIOEQT","TOT","1000000HAB","A","2018",10.61,
"AUS","RADIOEQT","TOT","1000000HAB","A","2019",11.47,
"AUT","RADIOEQT","TOT","1000000HAB","A","1996",3.27,
"AUT","RADIOEQT","TOT","1000000HAB","A","1997",3.77,
"AUT","RADIOEQT","TOT","1000000HAB","A","1998",4.14,
"AUT","RADIOEQT","TOT","1000000HAB","A","1999",4.25,
"AUT","RADIOEQT","TOT","1000000HAB","A","2000",4.24,
"AUT","RADIOEQT","TOT","1000000HAB","A","2001",4.48,
"AUT","RADIOEQT","TOT","1000000HAB","A","2002",4.45,
"AUT","RADIOEQT","TOT","1000000HAB","A","2003",4.43,
"AUT","RADIOEQT","TOT","1000000HAB","A","2004",4.53,
"AUT","RADIOEQT","TOT","1000000HAB","A","2005",4.62,
"AUT","RADIOEQT","TOT","1000000HAB","A","2006",4.84,
"AUT","RADIOEQT","TOT","1000000HAB","A","2007",4.82,
"AUT","RADIOEQT","TOT","1000000HAB","A","2008",5.05,
"AUT","RADIOEQT","TOT","1000000HAB","A","2009",5.03,
"AUT","RADIOEQT","TOT","1000000HAB","A","2010",5.14,
"AUT","RADIOEQT","TOT","1000000HAB","A","2011",4.77,
"AUT","RADIOEQT","TOT","1000000HAB","A","2012",4.86,
"AUT","RADIOEQT","TOT","1000000HAB","A","2013",4.95,
"AUT","RADIOEQT","TOT","1000000HAB","A","2014",4.91,
"AUT","RADIOEQT","TOT","1000000HAB","A","2015",4.86,
"AUT","RADIOEQT","TOT","1000000HAB","A","2016",4.92,
"AUT","RADIOEQT","TOT","1000000HAB","A","2017",5.34,
"AUT","RADIOEQT","TOT","1000000HAB","A","2018",5.2,
"AUT","RADIOEQT","TOT","1000000HAB","A","2019",5.52,
"CAN","RADIOEQT","TOT","1000000HAB","A","1993",5.58,
"CAN","RADIOEQT","TOT","1000000HAB","A","1994",6.38,
"CAN","RADIOEQT","TOT","1000000HAB","A","1995",6.89,
"CAN","RADIOEQT","TOT","1000000HAB","A","1996",6.86,
"CAN","RADIOEQT","TOT","1000000HAB","A","1997",7.06,
"CAN","RADIOEQT","TOT","1000000HAB","A","2016",2.88,
"CAN","RADIOEQT","TOT","1000000HAB","A","2017",2.96,
"CAN","RADIOEQT","TOT","1000000HAB","A","2018",3,
"CAN","RADIOEQT","TOT","1000000HAB","A","2019",2.87,
"CZE","RADIOEQT","TOT","1000000HAB","A","1991",5.43,
"CZE","RADIOEQT","TOT","1000000HAB","A","1992",5.72,
"CZE","RADIOEQT","TOT","1000000HAB","A","1993",4.36,
"CZE","RADIOEQT","TOT","1000000HAB","A","1994",4.16,
"CZE","RADIOEQT","TOT","1000000HAB","A","1995",4.94,
"CZE","RADIOEQT","TOT","1000000HAB","A","1996",6.11,
"CZE","RADIOEQT","TOT","1000000HAB","A","1997",6.5,
"CZE","RADIOEQT","TOT","1000000HAB","A","1998",6.41,
"CZE","RADIOEQT","TOT","1000000HAB","A","1999",6.32,
"CZE","RADIOEQT","TOT","1000000HAB","A","2000",8.48,"B"
"CZE","RADIOEQT","TOT","1000000HAB","A","2001",9.1,
"CZE","RADIOEQT","TOT","1000000HAB","A","2002",9.02,
"CZE","RADIOEQT","TOT","1000000HAB","A","2003",9.12,
"CZE","RADIOEQT","TOT","1000000HAB","A","2004",9.32,
"CZE","RADIOEQT","TOT","1000000HAB","A","2005",8.62,
"CZE","RADIOEQT","TOT","1000000HAB","A","2006",8.99,
"CZE","RADIOEQT","TOT","1000000HAB","A","2007",8.84,
"CZE","RADIOEQT","TOT","1000000HAB","A","2008",8.47,
"CZE","RADIOEQT","TOT","1000000HAB","A","2009",8.52,
"CZE","RADIOEQT","TOT","1000000HAB","A","2010",8.69,
"CZE","RADIOEQT","TOT","1000000HAB","A","2011",8.29,
"CZE","RADIOEQT","TOT","1000000HAB","A","2012",8.37,
"CZE","RADIOEQT","TOT","1000000HAB","A","2013",7.99,
